ti,T,T_b,pool_raw,pool_bucketed,pool_addr_n,K_sampled,item_n,addr_n,H_knap_item,H_knap_addr,H_naive_item,H_naive_addr,saturated,skipped
1860,977079802396493904,97708,28,28,27,136,27,26,4.512634887418452,4.435124363916368,4.807354922057604,4.754887502163468,False,False
1861,1003714476856147116,100371,62,62,61,2000,42,42,4.9946078990712826,4.9946078990712826,5.954196310386875,5.930737337562887,True,False
1862,2984399503561362591,298440,74,74,74,2000,51,51,5.093246644250239,5.09324664425024,6.20945336562895,6.20945336562895,True,False
1863,101693337928173243465,10169334,115,115,114,0,0,0,0.0,0.0,6.845490050944375,6.832890014164741,False,True
1864,46131618920617497,4613,87,84,84,2000,37,37,4.609556073224949,4.609556073224948,6.442943495848728,6.392317422778761,True,False
1865,2257502049463745765,225750,126,126,125,2000,48,48,5.068409352490207,5.068409352490206,6.977279923499917,6.965784284662087,True,False
1866,1380370757061421,138,0,0,0,0,0,0,0.0,0.0,0,0,False,True
1867,24937500000000000,2494,16,16,16,1,4,4,2.0,2.0,4.0,4.0,False,False
1868,17955000000000000,1796,13,13,13,0,0,0,0.0,0.0,3.700439718141092,3.700439718141092,False,False
1869,494485423742537712,49449,99,99,99,2000,48,48,4.809100572158887,4.809100572158886,6.6293566200796095,6.6293566200796095,True,False
1870,10599374714784477176,1059937,61,61,59,2000,45,43,5.054495308448705,5.005634335761245,5.930737337562887,5.882643049361842,True,False
1871,7482342117165564004,748234,188,188,186,2000,40,40,5.134243694712637,5.134243694712637,7.554588851677638,7.539158811108031,True,False
1872,228723223725101112,22872,94,94,93,2000,39,39,4.659514632116292,4.659514632116293,6.554588851677638,6.539158811108031,True,False
1873,118702500000000000,11870,64,64,64,2000,28,28,4.378982270445687,4.378982270445686,6.0,6.0,True,False
1874,36083870717477395512,3608387,38,38,37,2000,37,36,5.105758229883156,5.063508392590387,5.247927513443585,5.20945336562895,True,False
1875,2793000000000000000,279300,54,54,54,2000,49,49,5.004761122766151,5.004761122766152,5.754887502163468,5.754887502163468,True,False
1876,74812500000000000,7481,6,6,6,0,0,0,0.0,0.0,2.584962500721156,2.584962500721156,False,False
1877,24937500000000000,2494,18,18,18,2,7,7,2.75,2.75,4.169925001442312,4.169925001442312,False,False
1878,13949800130907928176,1394980,176,176,171,2000,61,61,5.051609982360698,5.051609982360697,7.459431618637297,7.417852514885898,True,False
1879,365892613558711992,36589,19,19,19,0,0,0,0.0,0.0,4.247927513443585,4.247927513443585,False,False
1880,133281048862501072,13328,18,18,18,1,1,1,-0.0,-0.0,4.169925001442312,4.169925001442312,False,False
1881,1500840717438139314,150084,98,98,97,2000,44,44,4.979768929510641,4.979768929510641,6.614709844115208,6.599912842187128,True,False
1882,39324909362450489,3932,44,44,44,2000,36,36,4.55488917693299,4.55488917693299,5.459431618637297,5.459431618637297,True,False
1883,8467925026260000,847,47,47,47,2000,38,38,4.644882350034277,4.644882350034277,5.554588851677638,5.554588851677638,True,False
