ti,T,T_b,pool_raw,pool_bucketed,pool_addr_n,K_sampled,item_n,addr_n,H_knap_item,H_knap_addr,H_naive_item,H_naive_addr,saturated,skipped
1978,26374802823503497,26,6296,5726,5431,2000,867,851,4.453741260981477,4.448194384143441,12.620219825507487,12.407002147924201,True,False
1979,10000000000000000,10,679,622,608,2000,131,129,4.326090060370319,4.320368827444624,9.407267764244732,9.247927513443585,True,False
1980,9975000000000000,10,225,203,196,2000,84,83,4.2978414481126315,4.285838336923064,7.813781191217037,7.614709844115208,True,False
1981,1327236517687500000,1327,22190,21600,17899,2000,920,903,4.69656972806233,4.693938322007568,14.437622047084373,14.127591367299253,True,False
1982,349125000000000000,349,12925,12345,10848,2000,890,874,4.473255735084695,4.469529297751708,13.65787666008966,13.405141463136344,True,False
1983,22163489703482190000,22163,4397,4297,3541,2000,214,211,5.999987215189956,5.999244326146048,12.102303817212647,11.789941128390916,True,False
1984,8299874384407300720,8300,11440,11002,9061,2000,571,564,5.309755604965874,5.308754942040984,13.481799431665753,13.145454564009516,True,False
1985,19750500000000000000,19751,28772,28187,22529,2000,948,932,5.817178065999756,5.8163426347309795,14.812377888766893,14.459495657301261,True,False
1986,204813742441254,0,72,0,0,0,0,0,0.0,0.0,6.169925001442312,0,False,True
1987,88891768904134052890,88892,24789,24209,19536,2000,919,903,5.600718311963914,5.599693583621861,14.597412453146735,14.253847484987404,True,False
1988,4322445372044536189,4322,473,469,431,2000,51,51,4.784862789227692,4.784862789227691,8.885696373339394,8.751544059089099,True,False
1989,45112781954887218,45,7991,7410,6953,2000,899,883,4.564395287477941,4.559663187469221,12.964160339100337,12.763419874192088,True,False
1990,24060150375939849,24,5035,4495,4259,2000,798,786,4.437793446226686,4.432248873761232,12.297776062894147,12.056299014550337,True,False
1991,385522771330359617,386,14281,13700,11952,2000,902,886,4.436854010716367,4.432755097348146,13.801809384443683,13.544964432789238,True,False
1992,12526742079681410767,12527,26758,26176,21038,2000,927,911,5.244737134675774,5.243262874915846,14.707682666757826,14.3607099393494,True,False
1993,6369756947035081394,6370,26516,25929,20876,2000,926,910,5.129878468275502,5.128308848333431,14.694575537525989,14.34955768662052,True,False
1994,69825000000000000,70,9070,8489,7891,2000,895,879,4.535786553518072,4.532240191049934,13.146886835415884,12.945992424396774,True,False
1995,26992350000000000000,26992,25732,25151,20207,2000,943,927,6.089995305714474,6.08930194907771,14.651275973346639,14.302567529748647,True,False
1996,194472600000000000000,194473,27182,26601,21381,0,0,0,0.0,0.0,14.730363990324673,14.384041709750162,False,True
1997,623887204231305442,624,13714,13138,11407,2000,889,873,4.60393262592651,4.601004767920545,13.743361806865865,13.477631797450522,True,False
1998,80478300000000000000,80478,10109,9814,8021,2000,484,477,6.584272182893568,6.58380881595063,13.303352669926332,12.96956639729051,True,False
1999,2025088023389953869,2025,19423,18842,15638,2000,898,882,4.743472438236708,4.741061149601249,14.245478430505111,13.932768392540918,True,False
2000,331974611484548,0,110,0,0,0,0,0,0.0,0.0,6.78135971352466,0,False,True
2001,11199459290787540028,11199,25770,25189,20275,2000,931,915,5.571275079876832,5.570224102051107,14.653404916746982,14.307414293991998,True,False
2002,2392060886094600000,2392,24089,23500,19252,2000,924,907,4.879176910840761,4.877071812312329,14.556086884168359,14.232720707964873,True,False
2003,9973264462731425825,9973,8926,8669,7145,2000,425,418,5.444225069513354,5.443032025875301,13.123798091251855,12.802718295983178,True,False
2004,86899120622829261,87,9838,9256,8538,2000,911,895,4.592484816922044,4.588717802786759,13.264149339723328,13.059682447247638,True,False
2005,3373219736383121,3,1707,1211,1193,2000,568,561,5.273293811439189,5.262948788925048,10.737247343027738,10.220378327695228,True,False
2006,99750000000000000,100,3945,3708,3408,2000,380,373,4.523327407471307,4.514712822367789,11.945809584900822,11.734709620225837,True,False
2007,9711288805795462243,9711,23050,22469,18237,2000,907,891,5.205926909376999,5.204439687757393,14.492479130204062,14.154580804167798,True,False
2008,984847504426097482,985,18276,17692,14933,2000,915,899,4.696699732196846,4.694193333955073,14.157662727208448,13.866216407737452,True,False
2009,194425265752502484,194,2884,2744,2485,2000,225,221,4.5195184830326305,4.516063953280494,11.493855449240822,11.279030136449649,True,False
2010,173307513005296544,173,13356,12765,11462,2000,916,899,4.436313606184796,4.432103409127932,13.705200378063116,13.484571180915806,True,False
2011,1289334766878375762,1289,10502,10005,8478,2000,587,580,4.598062673372297,4.59590813664164,13.35837648032824,13.049508251055096,True,False
2012,492765000000000000,493,6225,5939,5227,2000,406,399,4.556080137051807,4.55289525616832,12.603858121842805,12.351767443959893,True,False
2013,18832009123989538,19,5686,5110,4893,2000,882,866,4.454570146517838,4.449150008429299,12.473198383677527,12.256503567433041,True,False
2014,59845842414412148026,59846,12777,12317,10014,2000,605,598,6.048207224196116,6.047672381314809,13.641261515271493,13.289730740083755,True,False
2015,47183046704110075,47,7850,7269,6816,2000,887,871,4.443598129261704,4.4367663792449505,12.938476938666351,12.734709620225837,True,False
2016,489360978272408448,489,15450,14869,12844,2000,911,895,4.558055964476633,4.554970766133097,13.9153192176791,13.64880694972577,True,False
2017,1712468095079371959,1712,20332,19751,16404,2000,908,892,4.51400306044715,4.510661126496812,14.311464515448444,14.001760028327217,True,False
2018,3940125000000000000,3940,19133,18555,15330,2000,895,879,4.789470410565261,4.787193223820133,14.223775481450371,13.90407007654614,True,False
2019,1995000000000000000,1995,14738,14173,11948,2000,849,833,4.513682530886998,4.510096808656698,13.84725313832084,13.544481522310791,True,False
2020,1002506265664160401,1003,513,504,467,2000,61,61,4.828392155910235,4.828392155910235,9.002815015607053,8.867278739709661,True,False
2021,7880250000000000000,7880,26157,25573,20586,2000,931,915,5.31380432339051,5.312510591543306,14.674909464219096,14.329375911278811,True,False
2022,869390607372000000,869,19834,19243,16293,2000,922,905,4.743028138612264,4.740551530254708,14.275688040384823,13.991964648645357,True,False
2023,1313650176839247879,1314,20408,19823,16443,2000,918,902,4.7893148771007965,4.7870865497150525,14.316847183602473,14.0051859200698,True,False
2024,7438723222443809112,7439,26692,26105,20996,2000,932,916,5.381435699062329,5.380203733426292,14.704119788513017,14.357826882210777,True,False
2025,20050125313283208,20,6667,6082,5823,2000,908,892,4.393612766035178,4.388599029417259,12.702822011777029,12.50754690343482,True,False
2026,836335244666406347664,836335,1542,1520,1325,0,0,0,0.0,0.0,10.590587049915035,10.371776644337924,False,True
2027,13570575123426439532,13571,21811,21233,17225,2000,908,892,5.348064881210834,5.346766218803893,14.412768296340023,14.072216362479017,True,False
2028,34063465952056886082,34063,20942,20369,16589,2000,895,879,4.966356439899232,4.964473793262646,14.354111608460832,14.017939301495817,True,False
2029,109026750000000000,109,3893,3686,3372,2000,358,351,4.3870927300723945,4.382013699180874,11.926666629347283,11.719388820942083,True,False
2030,5286750000000000000,5287,15594,15034,12418,2000,841,826,4.834092505637278,4.832025835680622,13.928703419193356,13.600145216358667,True,False
2031,99750000000000000,100,7427,6867,6298,2000,825,810,4.549318599574637,4.541464881701552,12.85856386297237,12.62067804213541,True,False
2032,8778000000000000000,8778,15710,15150,12452,2000,845,830,5.277994681951772,5.2766857726076,13.93939556018156,13.604089861469179,True,False
2033,9181714170015706253,9182,15476,14916,12271,2000,838,823,5.347730860616295,5.346503667338909,13.917745013443216,13.582965202817142,True,False
2034,5087250000000000000,5087,14721,14161,11718,2000,824,809,4.882707497703031,4.880703891921202,13.845588056789383,13.516438734607949,True,False
2035,9075308239128525438,9075,14198,13695,11231,2000,640,632,5.509067083852572,5.508221145846061,13.793400098483819,13.455198769515098,True,False
2036,199500000000000000,200,7694,7191,6437,2000,612,604,4.522712160012515,4.519270833975917,12.909518114296615,12.65217275350971,True,False
2037,428925000000000000,429,4766,4571,4045,2000,340,333,4.499205659684496,4.495160369390412,12.21856323619027,11.981923987317339,True,False
2038,337546011550662125,338,9251,8722,7697,2000,784,772,4.40340058659497,4.399704307634307,13.175393608892442,12.910080531966354,True,False
2039,1775550000000000000,1776,19430,18849,15692,2000,898,882,4.596715439851812,4.593332131896426,14.245998280472707,13.937741620077096,True,False
2040,4912280701754385964,4912,26167,25578,20693,2000,922,905,4.789067856063665,4.786728909677924,14.675460910996275,14.336855196877485,True,False
2041,4010025062656641604,4010,25430,24842,20139,2000,921,904,4.7891186936596855,4.786779682299603,14.634243841577469,14.29770442779689,True,False
2042,498750000000000000,499,4471,4285,3783,2000,308,301,4.494764546419395,4.490353207555549,12.126381830542641,11.885315061049376,True,False
2043,538650000000000000,539,4546,4369,3840,2000,301,295,4.6360689357753495,4.632958943692831,12.150381968817848,11.906890595608518,True,False
2044,10000000000000000,10,1324,1172,1133,2000,241,236,4.3625067457138655,4.355706718368356,10.370687406807217,10.145932145820515,True,False
