from_addr,sh_tx,delay_h,sh_amt,un_amt,amt_ratio,self_bc,tok,from_in_ppoi,sh_tx_in_ppoi,any_ppoi_hit,is_forced_candidate,is_candidate_loose
0xe62d534ebae8a22453fbe8d25addfb49381dcf0f,0xc5c590d62289f8df0b47e63d2c406b7ff8bc43f59e34e58a17edabc95f05d885,143.44666666666666,0.7186956826744535,0.9163195192155036,1.2749756834570654,False,WETH,False,False,False,False,False
0xf8c405c7d0fb57f83c022e842f5bdbbd94a9d7bb,0x0275746fb7728592d116897f4d052116d5f76926238452afb2e814ee48da7d50,195.69333333333333,0.00668325,0.0533011751068188,7.97533761370872,True,WETH,False,False,False,False,False
0xe64d9db4a722f2218c4716257a7fac9a54ec8502,0x4c74d03c22ea925d0e6632304ec9346b7e2b6ea77b9e13bd55e29fb3a9c0d66b,32.126666666666665,0.49625625,0.95,1.9143335726250297,False,WETH,False,False,False,False,False
0xe62d534ebae8a22453fbe8d25addfb49381dcf0f,0x629df1ecbd138c3c3558d8dc84651ef9c97a64ebbd4579931e9cb26fa2bbdb7c,160.07666666666665,1.1147286960451723,0.9163195192155036,0.8220112413598182,False,WETH,False,False,False,False,False
0x879a4fa78d65dcf4357d513ffa64825591f34445,0x4718a246d6981d80642d907cb1e11c3bfbab29d3431b379c6f04a823fa5f7d4b,1.2166666666666666,1.829415,7.96005,4.351145038167939,False,WETH,True,True,True,False,False
0x879a4fa78d65dcf4357d513ffa64825591f34445,0xe81af8d8a51c755fd8e8dd2b51f3db02c3b35ea76248930e484da3b040f3d5c8,1.2366666666666666,7.98,7.96005,0.9974999999999999,False,WETH,True,True,True,False,True
0xbcc75cda35f816ee9b87a5ec7334269a4bff3504,0xdb0e000c0dbb043c9e03ce8931d428cf4b16a08f83cd050ceafdaee9801e3002,1.39,1.9940025,7.96005,3.9919959979989996,False,WETH,True,True,True,False,False
0xbcc75cda35f816ee9b87a5ec7334269a4bff3504,0xdb0e000c0dbb043c9e03ce8931d428cf4b16a08f83cd050ceafdaee9801e3002,98.59,1.9940025,0.009975,0.0050025012506253125,False,WETH,True,True,True,False,False
0xbcc75cda35f816ee9b87a5ec7334269a4bff3504,0xed13ed379bd8576966d3d1f0c3c7a4aa0b361ce8e84f9856cb589820c821a6ca,1.41,7.98,7.96005,0.9974999999999999,False,WETH,True,True,True,False,True
0xbcc75cda35f816ee9b87a5ec7334269a4bff3504,0xed13ed379bd8576966d3d1f0c3c7a4aa0b361ce8e84f9856cb589820c821a6ca,98.61,7.98,0.009975,0.0012499999999999998,False,WETH,True,True,True,False,False
